Ra,Re,TStart,TFinal,TFinal,ChkStep,ReyStep,Queued?,Converged?,Final State,
2000,0,1300,50,1350,5,5,,,12x1R (q = 3.01/d),
2000,0.1,1000,50,1050,5,5,,,10x5R (q=2.80/d),
2000,1,6000,50,6050,5,5,,,9x7R,
2000,10,6300,100,6400,20,20,,,13 LR,
2000,100,10000,100,10100,500,10,,,13 LR,
2000,500,8000,100,8100,20,20,,,13 LR,
2000,1000,12000,100,12100,20,20,,,13 LR,
2000,2000,,,,,,,,Turbulence,
3000,0,2400,3000,5400,300,300,,,SDC,
3000,0.1,500,250,750,25,25,,,SDC (Fast),
3000,1,5000,100,5100,20,20,,,9x3R + Def (TW),
3000,10,30000,20000,50000,2000,2000,,,10 LR + Def (RPO),
3000,100,10000,5000,15000,500,500,,,13 WRs (RPO),
3000,500,16000,100,16100,20,20,,,14 LRs,
3000,1000,7500,100,7600,20,20,,,13 LRs,
3000,2000,,,,,,,,Turbulence,
5000,0,1300,1200,2500,120,120,,,SDC,
5000,0.1,130,120,250,12,12,,,SDC,
5000,1,2600,2500,5100,250,250,,,SDC,
5000,10,12600,100,12700,20,20,,,8 LR,
5000,100,10000,1000,11000,100,100,,,12 WR (TW),
5000,500,18000,10000,28000,1000,1000,,,13 IntRolls (smooth diag. perturbs),
5000,1000,14600,10000,24600,1000,1000,,,15 IntRolls (diag perturb),
5000,2000,,,,,,,,Turbulence,
8000,0,630,600,1230,6,6,,,SDC,
8000,0.1,63,60,123,6,6,,,SDC,
8000,1,630,600,1230,60,60,,,SDC,
8000,10,12400,100,12500,20,20,,,Osc. Rolls (TW),
8000,100,20000,5000,25000,500,500,,,10 WRs (Quasi-Periodic),
8000,500,18000,10000,28000,1000,1000,,,12 IntRolls,
8000,1000,15000,10000,25000,1000,1000,,,13 IntRolls,
8000,2000,,,,,,,,Turbulence,
10000,0,1260,1000,2260,100,100,,,SDC,
10000,0.1,130,200,330,20,20,,,SDC,
10000,1,630,600,1230,60,60,,,SDC,
10000,10,6300,2000,8300,500,500,,,7 Osc Rolls (Chaotic),
10000,100,20000,10000,30000,1000,1000,,,11 WRs (Quasi-Periodic),
10000,500,16000,10000,26000,1000,1000,,,12 Int. Rolls,
10000,1000,15000,10000,25000,1000,1000,,,11/12 Int. Rolls (brk into shr. turb),
10000,2000,,,,,,,,Turbulence,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
